,Code,Title,CRN,Course Time,Professor,WRIT,DIAP,FYS,SOPH,CBLR,CSE,Department,Course Code,Previous Professor,Previous Semester,Course Rating,Previous Professor Rating,Average Hours,Maximum Hours,Number of Respondents,Class Size,Same Professor
117,APMA 1650,Statistical Inference I,24781,MWF 2-2:50p,N. Kaihnsa,0,0,0,0,0,0,APMA,1650,S. Punshon-Smith,Spring 2020,3.95,3.88,6.13,11.24,38,155,False
118,APMA 1655,Honors Statistical Inference I,16030,MWF 1-1:50p,H. Wang,0,0,0,0,0,0,APMA,1655,H. Wang,Spring 2020,4.5,4.83,5.15,9.26,27,80,True
119,APMA 1655,Honors Statistical Inference I,24782,MWF 10-10:50a,Y. Shin,0,0,0,0,0,0,APMA,1655,H. Wang,Spring 2020,4.5,4.83,5.15,9.26,27,80,False
120,APMA 1660,Statistical Inference II,24783,TTh 1-2:20p,B. Gidas,0,0,0,0,0,0,APMA,1660,E. Makrides,Spring 2021,4.33,4.85,4.81,7.52,21,71,False
121,APMA 1690,Computational Probability and Statistics,16031,MWF 11-11:50a,H. Wang,0,0,0,0,0,0,APMA,1690,S. Geman,Fall 2020,4.19,4.38,6.28,10.34,47,105,False
122,APMA 1690,Computational Probability and Statistics,16031,MWF 11-11:50a,H. Wang,0,0,0,0,0,0,APMA,1690,S. Geman,Fall 1996,4.84,4.87,,,5,6,False
123,APMA 1710,Information Theory,24784,TTh 9-10:20a,P. Lopatto,0,0,0,0,0,0,APMA,1710,M. Harrison,Fall 2018,4.16,4.51,8.44,11.93,41,50,False
124,APMA 1740,Recent Applications of Probability and Statistics,24785,MWF 1-1:50p,S. Geman,0,0,0,0,0,0,APMA,1740,S. Geman,Spring 2021,4.49,4.83,9.0,14.33,12,55,True
125,APMA 1860,Graphs and Networks,24786,TTh 10:30-11:50a,O. Nguyen,0,0,0,0,0,0,APMA,1860,M. Harrison,Spring 2021,4.58,4.86,7.21,10.79,14,36,False
126,APMA 1910,Race and Gender in the Scientific Community,16032,TTh 1-2:20p,K. Ramanan,0,1,0,0,0,0,APMA,1910,B. Sandstede,Spring 2019,4.27,4.91,4.09,5.91,11,20,False
127,APMA 2190,Nonlinear Dynamical Systems I,16033,TTh 2:30-3:50p,J. Mallet-Paret,0,0,0,0,0,0,APMA,2190,G. Menon,Fall 2020,3.75,4.56,12.38,18.63,8,13,False
128,APMA 2550,Numerical Solution of Partial Differential Equations I,15966,W 3-5:30p,J. Guzman,0,0,0,0,0,0,APMA,2550,J. Guzman,Fall 2020,4.22,4.67,11.8,20.6,5,10,True
129,APMA 2610,Recent Applications of Probability and Statistics,24707,MWF 1-1:50p,S. Geman,0,0,0,0,0,0,APMA,2610,M. Harrison,Spring 2017,4.91,4.98,9.0,13.88,8,12,False
130,DATA 1010,"Probability, Statistics, and Machine Learning",18019,MWF 10-10:50a; MWF 11-11:50a,Watson/Bergen,0,0,0,0,0,0,DATA,1010,S. Watson,Fall 2020,4.67,4.96,13.77,21.71,31,52,False
